2019_district council,18_district,hk_islands,kowloon,new_town,others
司徒拔道,灣仔區 ,989,436,202,174
跑馬地,灣仔區 ,1273,425,474,132
樂活,灣仔區 ,1044,363,394,79
渣甸山,灣仔區 ,1207,521,248,--
大坑,灣仔區 ,792,630,328,100
銅鑼灣,灣仔區 ,818,343,307,73
天后,灣仔區 ,966,184,186,--
軒尼詩,灣仔區 ,684,278,359,192
修頓,灣仔區 ,893,352,571,16
愛群,灣仔區 ,516,538,533,128
大佛口,灣仔區 ,682,349,318,119
鵝頸,灣仔區 ,520,287,394,52
維園,灣仔區 ,1203,272,512,67
海濱,荃灣區 ,149,455,714,12
馬灣,荃灣區 ,440,614,996,92
楊屋道,荃灣區 ,355,661,2401,98
德華,荃灣區 ,190,284,960,172
荃灣南,荃灣區 ,337,1450,1754,108
福來,荃灣區 ,40,258,306,23
荃灣西,荃灣區 ,704,2057,2618,355
愉景,荃灣區 ,201,487,405,91
荃灣中心,荃灣區 ,115,773,1293,81
梨木樹西,荃灣區 ,35,58,324,1
荃灣郊區,荃灣區 ,114,833,1019,148
梨木樹東,荃灣區 ,106,237,615,30
象石,荃灣區 ,71,179,318,86
汀深,荃灣區 ,133,575,989,145
麗濤,荃灣區 ,205,772,491,307
荃威,荃灣區 ,257,805,622,18
石圍角,荃灣區 ,27,250,125,3
綠楊,荃灣區 ,63,327,752,59
祈德尊,荃灣區 ,245,475,1121,123
山頂,中西區 ,1748,178,143,173
觀龍,中西區 ,312,156,279,6
半山東,中西區 ,972,267,465,114
衛城,中西區 ,1136,427,567,158
大學,中西區 ,877,429,537,164
水街,中西區 ,579,344,195,71
東華,中西區 ,806,447,393,62
正街,中西區 ,473,307,632,229
中環,中西區 ,529,546,287,59
上環,中西區 ,511,365,404,115
西營盤,中西區 ,350,443,337,53
石塘咀,中西區 ,341,242,367,83
寶翠,中西區 ,450,477,549,72
西環,中西區 ,374,268,296,140
堅摩,中西區 ,474,512,348,63
彩雲南,黃大仙區 ,36,721,234,45
東頭,黃大仙區 ,429,2030,421,34
彩虹,黃大仙區 ,64,522,220,35
東美,黃大仙區 ,74,252,360,4
新蒲崗,黃大仙區 ,231,1203,921,100
彩雲西,黃大仙區 ,86,319,159,33
樂富,黃大仙區 ,22,717,223,101
龍下,黃大仙區 ,156,192,355,21
彩雲東,黃大仙區 ,376,589,848,161
池彩,黃大仙區 ,81,529,399,26
龍趣,黃大仙區 ,136,609,399,22
橫頭磡,黃大仙區 ,25,398,374,8
龍上,黃大仙區 ,38,437,229,48
天強,黃大仙區 ,60,243,228,44
竹園南,黃大仙區 ,34,541,230,23
鳳德,黃大仙區 ,76,169,86,--
龍星,黃大仙區 ,115,728,216,27
鳳凰,黃大仙區 ,286,500,672,88
慈雲東,黃大仙區 ,125,368,423,125
瓊富,黃大仙區 ,518,810,544,22
竹園北,黃大仙區 ,45,87,110,25
慈雲西,黃大仙區 ,154,705,245,25
翠竹及鵬程,黃大仙區 ,58,288,124,95
正愛,黃大仙區 ,92,357,189,--
正安,黃大仙區 ,12,667,341,1
兆禧,屯門區 ,29,180,233,12
湖景,屯門區 ,--,67,157,141
蝴蝶,屯門區 ,76,7,402,105
悅湖,屯門區 ,--,--,234,34
富新,屯門區 ,29,14,101,--
兆翠,屯門區 ,38,46,338,45
友愛南,屯門區 ,10,22,303,218
安定,屯門區 ,78,42,266,20
兆置,屯門區 ,280,187,369,174
友愛北,屯門區 ,58,133,341,39
龍門,屯門區 ,50,189,455,45
屯門市中心,屯門區 ,185,364,1157,57
山景,屯門區 ,8,67,85,177
翠興,屯門區 ,282,202,488,19
景興,屯門區 ,107,121,764,148
興澤,屯門區 ,101,145,419,242
田景,屯門區 ,29,10,139,47
三聖,屯門區 ,110,537,576,168
良景,屯門區 ,6,121,115,1
建生,屯門區 ,166,185,555,87
新景,屯門區 ,--,47,220,--
景峰,屯門區 ,277,586,1245,72
兆康,屯門區 ,108,264,646,95
新墟,屯門區 ,308,754,1237,125
富泰,屯門區 ,83,124,387,109
樂翠,屯門區 ,89,116,810,130
屯門鄉郊,屯門區 ,274,507,1658,282
寶田,屯門區 ,78,569,804,53
掃管笏,屯門區 ,664,852,2507,330
恒福,屯門區 ,272,266,577,206
欣田,屯門區 ,270,677,5484,2263
長洲,離島區 ,303,424,426,83
南丫及蒲台,離島區 ,317,136,114,22
滿逸,離島區 ,976,2765,5588,1015
逸東?北,離島區 ,10,287,698,140
坪洲及喜靈洲,離島區 ,294,272,529,64
東涌中,離島區 ,584,1028,1221,283
愉景灣,離島區 ,1126,1007,964,40
大嶼山,離島區 ,1118,1932,3209,537
東涌北,離島區 ,1712,3197,5344,986
東涌南,離島區 ,469,562,651,94
尖沙咀中,油尖旺區 ,254,474,653,218
佐敦北,油尖旺區 ,233,779,465,189
佐敦西,油尖旺區 ,211,652,537,132
油麻地南,油尖旺區 ,472,751,538,65
富榮,油尖旺區 ,186,572,320,7
尖東及京士柏,油尖旺區 ,485,1404,606,161
尖沙咀西,油尖旺區 ,391,579,637,87
油麻地北,油尖旺區 ,108,700,362,144
富柏,油尖旺區 ,379,319,467,16
旺角西,油尖旺區 ,326,489,1019,82
櫻桃,油尖旺區 ,448,1173,1052,166
旺角南,油尖旺區 ,313,831,870,192
大角咀南,油尖旺區 ,377,552,545,56
奧運,油尖旺區 ,583,856,1073,159
大角咀北,油尖旺區 ,317,925,953,97
旺角北,油尖旺區 ,385,595,774,42
大南,油尖旺區 ,305,1089,846,185
旺角東,油尖旺區 ,328,857,499,101
佐敦南,油尖旺區 ,279,447,391,93
九龍站,油尖旺區 ,545,547,582,169
長青,葵青區 ,253,236,1287,12
長康,葵青區 ,85,154,394,1
盛康,葵青區 ,84,326,402,42
祖堯,葵青區 ,96,405,453,72
荔景,葵青區 ,65,265,279,9
青衣?,葵青區 ,50,279,263,1
翠怡,葵青區 ,228,553,928,61
荔華,葵青區 ,41,760,512,16
青衣南,葵青區 ,134,259,666,91
偉盈,葵青區 ,85,188,405,73
華麗,葵青區 ,126,657,378,123
長安,葵青區 ,25,175,154,40
興芳,葵青區 ,455,1083,1400,110
安灝,葵青區 ,85,378,528,123
青發,葵青區 ,6,224,361,1
長亨,葵青區 ,15,101,386,134
葵盛東?,葵青區 ,131,456,362,76
葵盛西?,葵青區 ,64,161,486,--
葵芳,葵青區 ,318,288,337,111
上大窩口,葵青區 ,130,410,518,53
葵涌?南,葵青區 ,68,204,655,15
