location,estate_name,estate_map_latitude,estate_map_longitude,transaction_price,saleable_floor_area,floor_level,transaction_price_per_sq,discount_rate,assignment_date,month,year,credit_level
"TAI PO, NORTH & SHATIN (3)",FU HENG ESTATE,22.45645,114.17074,201400,19,M,10600,81,20,12,2024,F
"WONG TAI SIN, TSING YI & TSUEN WAN (1)",TUNG TAU (II) ESTATE,22.33306,114.19336,487000,36,M,13528,82,19,12,2024,F
TUEN MUN & YUEN LONG (1),SHAN KING ESTATE,22.39895,113.9663,300300,26,L,11550,83,19,12,2024,0
"TAI PO, NORTH & SHATIN (2)",TIN PING ESTATE,22.50348,114.13229,322800,19,M,16989,21,19,12,2024,0
"WONG TAI SIN, TSING YI & TSUEN WAN (1)",CHUK YUEN (NORTH) ESTATE,22.34581,114.19293,377000,20,L,18850,20,19,12,2024,0
"TAI PO, NORTH & SHATIN (2)",TIN PING ESTATE,22.50348,114.13229,288900,19,L,15205,21,18,12,2024,0
"TAI PO, NORTH & SHATIN (2)",TIN PING ESTATE,22.50348,114.13229,306000,19,M,16105,21,18,12,2024,0
KOWLOON EAST (2),TSUI PING (NORTH) ESTATE,22.31555,114.22915,398700,26,L,15335,20,18,12,2024,0
TUEN MUN & YUEN LONG (1),LEUNG KING ESTATE,22.40756,113.96332,259300,20,M,12965,19,18,12,2024,0
KOWLOON WEST & SAI KUNG (2),KING LAM ESTATE,22.31986,114.26158,337800,19,M,17779,19,18,12,2024,0
TUEN MUN & YUEN LONG (3),KIN SANG ESTATE,22.40605,113.96994,457400,36,H,12706,82,18,12,2024,0
KOWLOON WEST & SAI KUNG (2),PO LAM ESTATE,22.32592,114.25309,547100,35,L,15631,86,18,12,2024,0
"TAI PO, NORTH & SHATIN (2)",CHEUNG WAH ESTATE,22.49219,114.1419,228000,26,L,8769,83,18,12,2024,F
TUEN MUN & YUEN LONG (2),LONG PING ESTATE,22.44908,114.02275,444000,32,L,13875,82,18,12,2024,0
"TAI PO, NORTH & SHATIN (2)",CHEUNG WAH ESTATE,22.49219,114.1419,556100,35,H,15889,83,18,12,2024,0
TUEN MUN & YUEN LONG (1),SHAN KING ESTATE,22.39895,113.9663,281200,27,L,10415,18,17,12,2024,0
TUEN MUN & YUEN LONG (1),SHAN KING ESTATE,22.39895,113.9663,275600,27,L,10207,18,17,12,2024,0
KOWLOON EAST (2),TSUI PING (NORTH) ESTATE,22.31555,114.22915,348100,21,L,16576,82,17,12,2024,0
"TAI PO, NORTH & SHATIN (3)",FU HENG ESTATE,22.45645,114.17074,302200,19,L,15905,20,17,12,2024,0
"TAI PO, NORTH & SHATIN (3)",HENG ON ESTATE,22.41583,114.22905,766600,45,M,17036,18,17,12,2024,0
KOWLOON WEST & SAI KUNG (2),KING LAM ESTATE,22.31986,114.26158,319500,19,L,16816,19,17,12,2024,0
KOWLOON WEST & SAI KUNG (2),PO LAM ESTATE,22.32592,114.25309,568700,35,M,16249,86,17,12,2024,0
HONG KONG ISLAND & ISLANDS (2),LEI TUNG ESTATE,22.24077,114.15697,594200,46,M,12917,86,17,12,2024,F
"TAI PO, NORTH & SHATIN (3)",KWONG YUEN ESTATE,22.38123,114.21415,315100,20,M,15755,19,17,12,2024,0
KOWLOON EAST (1),TAK TIN ESTATE,22.30976,114.23962,397100,20,H,19855,20,16,12,2024,0
"WONG TAI SIN, TSING YI & TSUEN WAN (1)",FUNG TAK ESTATE,22.34489,114.20121,297900,15,L,19860,82,16,12,2024,0
"WONG TAI SIN, TSING YI & TSUEN WAN (1)",LOWER WONG TAI SIN (1) ESTATE,22.33831,114.1954,415900,19,H,21889,19,16,12,2024,0
"WONG TAI SIN, TSING YI & TSUEN WAN (1)",LOWER WONG TAI SIN (1) ESTATE,22.33831,114.1954,390200,19,L,20537,19,16,12,2024,0
KOWLOON EAST (2),TSUI PING (NORTH) ESTATE,22.31555,114.22915,403100,26,L,15504,20,16,12,2024,0
TUEN MUN & YUEN LONG (1),SHAN KING ESTATE,22.39895,113.9663,276800,26,M,10646,18,16,12,2024,0
TUEN MUN & YUEN LONG (1),LEUNG KING ESTATE,22.40756,113.96332,263300,20,M,13165,19,16,12,2024,0
TUEN MUN & YUEN LONG (1),LEUNG KING ESTATE,22.40756,113.96332,257500,20,M,12875,19,16,12,2024,0
HONG KONG ISLAND & ISLANDS (2),LEI TUNG ESTATE,22.24077,114.15697,724200,35,H,20691,86,16,12,2024,0
TUEN MUN & YUEN LONG (1),SHAN KING ESTATE,22.39895,113.9663,225600,27,H,8356,83,16,12,2024,F
"TAI PO, NORTH & SHATIN (3)",FU HENG ESTATE,22.45645,114.17074,310100,19,L,16321,20,13,12,2024,0
"WONG TAI SIN, TSING YI & TSUEN WAN (1)",CHUK YUEN (NORTH) ESTATE,22.34581,114.19293,410700,20,M,20535,20,12,12,2024,0
"TAI PO, NORTH & SHATIN (1)",HIN KENG ESTATE,22.36399,114.17324,631700,35,M,18049,81,12,12,2024,0
TUEN MUN & YUEN LONG (1),SHAN KING ESTATE,22.39895,113.9663,279800,26,L,10762,18,12,12,2024,0
"WONG TAI SIN, TSING YI & TSUEN WAN (1)",FUNG TAK ESTATE,22.34489,114.20121,324800,15,M,21653,19,12,12,2024,0
"TAI PO, NORTH & SHATIN (3)",FU HENG ESTATE,22.45645,114.17074,328300,19,H,17279,20,12,12,2024,0
"TAI PO, NORTH & SHATIN (2)",WAH MING ESTATE,22.48455,114.14015,279400,20,M,13970,20,12,12,2024,0
"TAI PO, NORTH & SHATIN (2)",TIN PING ESTATE,22.50348,114.13229,308400,19,L,16232,21,12,12,2024,0
TUEN MUN & YUEN LONG (1),SHAN KING ESTATE,22.39895,113.9663,274600,26,L,10562,18,12,12,2024,0
"WONG TAI SIN, TSING YI & TSUEN WAN (2)",CHEUNG ON ESTATE,22.35992,114.10435,354300,20,M,17715,19,12,12,2024,0
TUEN MUN & YUEN LONG (1),SHAN KING ESTATE,22.39895,113.9663,321300,27,H,11900,18,11,12,2024,0
"WONG TAI SIN, TSING YI & TSUEN WAN (2)",CHEUNG FAT ESTATE,22.36314,114.10348,338700,15,M,22580,21,11,12,2024,0
TUEN MUN & YUEN LONG (1),SHAN KING ESTATE,22.39895,113.9663,282700,26,L,10873,18,11,12,2024,0
"WONG TAI SIN, TSING YI & TSUEN WAN (1)",CHUK YUEN (NORTH) ESTATE,22.34581,114.19293,405800,20,H,20290,20,11,12,2024,0
